feature,importance,model_type,coord_type,timestamp
total_transactions,0.0,random_forest,lat,2025-05-20 23:48:23.657
unique_mcc_count,0.0,random_forest,lat,2025-05-20 23:48:23.657
avg_transaction_amount,0.0,random_forest,lat,2025-05-20 23:48:23.657
std_transaction_amount,0.0,random_forest,lat,2025-05-20 23:48:23.657
max_time_slot,0.0,random_forest,lat,2025-05-20 23:48:23.657
min_time_slot,0.0,random_forest,lat,2025-05-20 23:48:23.657
location_transaction_count,0.0,random_forest,lat,2025-05-20 23:48:23.657
location_avg_amount,0.0,random_forest,lat,2025-05-20 23:48:23.657
location_unique_mcc_count,0.0,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_0,0.00030588328393584143,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_1,0.0,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_2,0.0,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_3,0.0,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_4,0.0,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_5,0.0,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_6,0.0,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_7,0.0,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_8,0.0,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_9,0.0,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_10,0.0,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_11,0.0,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_12,0.0,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_13,0.0,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_14,0.0,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_15,0.0,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_16,0.14054947907077023,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_17,0.14407392832596205,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_18,0.15225664375211861,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_19,0.12225978827841946,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_20,0.013440869114289294,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_21,0.018951962959485164,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_22,0.1309941302233574,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_23,0.15820547183257833,random_forest,lat,2025-05-20 23:48:23.657
tag_feature_24,0.11896184315908362,random_forest,lat,2025-05-20 23:48:23.657
