feature,importance,model_type,coord_type,timestamp
total_transactions,0.0,random_forest,lon,2025-05-20 23:48:17.926
unique_mcc_count,0.0,random_forest,lon,2025-05-20 23:48:17.926
avg_transaction_amount,0.0,random_forest,lon,2025-05-20 23:48:17.926
std_transaction_amount,0.0,random_forest,lon,2025-05-20 23:48:17.926
max_time_slot,0.0,random_forest,lon,2025-05-20 23:48:17.926
min_time_slot,0.0,random_forest,lon,2025-05-20 23:48:17.926
location_transaction_count,0.0,random_forest,lon,2025-05-20 23:48:17.926
location_avg_amount,0.0,random_forest,lon,2025-05-20 23:48:17.926
location_unique_mcc_count,0.0,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_0,0.0001290915439577189,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_1,0.0,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_2,0.0,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_3,0.0,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_4,0.0,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_5,0.0,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_6,0.0,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_7,0.0,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_8,0.0,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_9,0.0,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_10,0.0,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_11,0.0,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_12,0.0,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_13,0.0,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_14,0.0,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_15,0.0,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_16,0.07346673069183035,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_17,0.06318045057438368,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_18,0.28677807483597884,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_19,0.15923771844194246,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_20,0.004011823168634066,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_21,0.015689526757404825,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_22,0.15151122850697432,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_23,0.1210775965515039,random_forest,lon,2025-05-20 23:48:17.926
tag_feature_24,0.12491775892738988,random_forest,lon,2025-05-20 23:48:17.926
